,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2016-03-15,20.0,20.0,18.52,18.18,64230.03,-0.76,-3.94,18.046,17.744,18.792,51157.27,42580.62,49007.64,5.63,,,1.0,1.0,,-0.5483203104178926,-0.7011858427987269,0.15286553238083422
2016-03-16,18.33,18.74,17.63,17.55,42820.59,-0.86,-4.65,18.172,17.697,18.676,56274.76,42361.61,49105.45,3.76,,,1.0,1.0,,-0.5544432049349552,-0.6718373152259726,0.11739411029101732
2016-03-17,17.91,18.71,18.45,17.68,46041.91,0.84,4.77,18.484,17.766,18.596,62268.34,43108.6,49364.11,4.04,,,1.0,1.0,,-0.48750879801886526,-0.6349716117845511,0.14746281376568582
2016-03-18,18.42,19.18,19.05,18.32,61542.38,0.59,3.2,18.586,18.006,18.502,61582.9,45860.13,49143.07,5.4,,,1.0,1.0,,-0.3816484074376696,-0.5843069709151748,0.20265856347750522
2016-03-21,19.3,20.23,19.77,19.05,64325.21,0.7,3.67,18.684,18.261,18.434,55792.02,49910.68,49808.75,5.64,,,1.0,1.0,,-0.23692418795168635,-0.5148304143224771,0.27790622637079077
2016-03-22,19.5,19.75,19.35,19.2,50660.69,-0.47,-2.37,18.85,18.448,18.345,53078.16,52117.72,50095.87,4.44,,,1.0,1.0,,-0.1543405494603718,-0.44273244135005607,0.2883918918896843
2016-03-23,19.2,21.29,21.29,19.2,44214.11,1.94,10.03,19.582,18.877,18.381,53356.86,54815.81,50351.91,3.88,,,1.0,1.0,,0.0668784328272416,-0.34081026651459656,0.40768869934183816
2016-03-24,23.42,23.42,23.42,23.41,52651.82,2.13,10.01,20.576,19.53,18.529,54678.84,58473.59,47691.94,4.62,,,1.0,1.0,,0.4093505308266323,-0.1907781070463508,0.6001286378729831
2016-03-25,24.96,25.76,23.99,23.91,255866.05,0.57,2.43,21.564,20.075,18.762,93543.58,77563.24,56828.96,22.44,,,1.0,1.0,,0.7184742482811224,-0.008927635980856136,0.7274018842619785
2016-03-28,23.32,23.67,22.26,21.88,176144.84,-1.73,-7.21,22.062,20.373,19.004,115907.5,85849.76,63604.77,15.45,,,1.0,1.0,,0.8144717562778752,0.15575224247089012,0.658719513806985
2016-03-29,22.12,22.4,21.48,21.3,91733.55,-0.75,-3.37,22.488,20.669,19.207,124122.07,88600.12,65590.37,8.05,,,1.0,1.0,,0.8181795274288568,0.28823769946248345,0.5299418279663733
2016-03-30,21.65,22.3,22.27,21.42,96590.85,0.82,3.82,22.684,21.133,19.415,134597.42,93977.14,68169.37,8.47,,,1.0,1.0,,0.8747804361377014,0.40554624679752704,0.46923418934017436
2016-03-31,22.27,22.39,21.87,21.61,97151.21,-0.4,-1.8,22.374,21.475,19.621,143497.3,99088.07,71098.34,8.52,,,1.0,1.0,,0.8772480377057406,0.49988660497916976,0.3773614327265708
2016-04-01,21.97,21.97,21.13,20.76,88287.32,-0.73,-3.34,21.802,21.683,19.845,109981.55,101762.56,73811.35,7.74,,,1.0,1.0,,0.8101528761114025,0.5619398592056163,0.24821301690578623
2016-04-05,21.17,21.89,21.69,21.09,67560.42,0.59,2.8,21.688,21.875,20.068,88264.67,102086.09,75998.38,5.93,,,1.0,1.0,,0.793025295077534,0.6081569463799998,0.1848683486975342
2016-04-06,21.69,22.16,21.78,21.38,80667.4,0.08,0.37,21.748,22.118,20.283,86051.44,105086.76,78602.24,7.08,,,1.0,1.0,,0.7777484119874352,0.6420752395014869,0.13567317248594823
2016-04-07,21.85,21.95,21.17,21.1,71910.75,-0.59,-2.71,21.528,22.106,20.492,81115.42,107856.42,81336.12,6.31,,,1.0,1.0,,0.7082551456121458,0.6553112207236187,0.05294392488852706
2016-04-08,21.2,21.22,21.05,20.73,47001.75,-0.14,-0.66,21.364,21.869,20.7,71085.53,107291.41,82882.5,4.12,,,-1.0,-1.0,,0.6361649210091471,0.6514819607807244,-0.015317039771577279
2016-04-11,21.27,21.7,21.66,21.27,53119.14,0.6,2.85,21.47,21.636,20.856,64051.89,87016.72,82289.98,4.66,,,-1.0,-1.0,,0.6210952017787719,0.6454046089803339,-0.02430940720156205
2016-04-12,21.79,22.29,22.15,21.52,85409.53,0.5,2.31,21.562,21.625,20.999,67621.71,77943.19,81896.48,7.49,,,-1.0,-1.0,,0.6412987527888312,0.6445834377420334,-0.0032846849532022215
2016-04-13,22.27,22.38,22.03,21.9,98419.98,-0.11,-0.5,21.612,21.68,21.175,71172.23,78611.83,83605.98,8.63,,,-1.0,-1.0,,0.640246848277755,0.6437161198491778,-0.0034692715714227385
2016-04-14,22.15,22.15,21.96,21.6,69163.9,-0.05,-0.23,21.77,21.649,21.391,70622.86,75869.14,84923.14,6.07,,,-1.0,-1.0,,0.626542400603519,0.640281376000046,-0.01373897539652702
2016-04-15,21.92,21.97,21.6,21.43,62161.87,-0.35,-1.59,21.88,21.622,21.549,73654.88,72370.21,85729.14,5.45,,,-1.0,-1.0,,0.5799472646695314,0.6282145537339431,-0.04826728906441169
2016-04-18,21.3,21.3,20.66,20.41,72096.41,-0.94,-4.35,21.68,21.575,21.629,77450.34,70751.12,86256.84,6.32,,,-1.0,-1.0,,0.46184626341447554,0.5949408956700496,-0.13309463225557405
2016-04-19,20.94,20.99,20.9,20.58,40041.67,0.24,1.16,21.43,21.496,21.686,68376.77,67999.24,85042.66,3.51,,,-1.0,-1.0,,0.38319908279111914,0.5525925330942635,-0.16939345030314434
2016-04-20,21.0,21.0,19.25,19.0,69311.89,-1.64,-7.85,20.874,21.243,21.681,62555.15,66863.69,85975.22,6.08,,,-1.0,-1.0,,0.1855900485957136,0.47919203619455353,-0.29360198759883993
2016-04-21,19.01,19.5,18.96,18.9,41499.35,-0.29,-1.51,20.274,21.022,21.564,57022.24,63822.55,85839.49,3.64,,,-1.0,-1.0,,0.005519266264890632,0.38445748220862097,-0.37893821594373034
2016-04-22,18.96,19.54,19.52,18.66,35049.84,0.56,2.95,19.858,20.869,21.369,51599.83,62627.36,84959.39,3.07,,,-1.0,-1.0,,-0.090952363951736,0.28937551297654956,-0.38032787692828557
2016-04-25,19.15,19.38,19.32,19.0,27335.98,-0.21,-1.07,19.59,20.635,21.136,42647.75,60049.04,73532.88,2.4,,,-1.0,-1.0,,-0.18145347179722293,0.19520971602179504,-0.376663187819018
2016-04-26,19.49,20.37,19.9,18.52,51025.19,0.59,3.06,19.39,20.41,21.018,44844.45,56610.61,67276.9,4.48,,,-1.0,-1.0,,-0.2040232460716389,0.11536312360310824,-0.31938636967474715
2016-04-27,19.79,19.9,19.58,19.5,38303.14,-0.32,-1.61,19.456,20.165,20.923,38642.7,50598.92,64605.38,3.36,,,-1.0,-1.0,,-0.24490813194393724,0.04330887249369915,-0.28821700443763637
2016-04-28,19.51,19.68,19.17,18.81,34534.82,-0.41,-2.09,19.498,19.886,20.768,37249.79,47136.02,61502.58,3.03,,,-1.0,-1.0,,-0.30685602677899837,-0.026724107360840355,-0.280131919418158
2016-04-29,19.14,19.76,19.32,19.03,27647.84,0.17,0.89,19.458,19.658,20.64,35769.39,43684.61,58027.41,2.43,,,-1.0,-1.0,,-0.33992795547565535,-0.08936487698380335,-0.250563078491852
2016-05-03,19.37,20.0,19.94,19.08,43603.42,0.62,3.21,19.582,19.586,20.581,39022.88,40835.31,55793.21,3.82,,,-1.0,-1.0,,-0.31250649840920985,-0.13399320126888464,-0.1785132971403252
2016-05-04,19.91,20.76,20.16,19.76,72685.44,0.19,0.95,19.634,19.512,20.504,43354.93,44099.69,56049.47,6.38,,,-1.0,-1.0,,-0.2699112656829712,-0.16117681415170196,-0.10873445153126923
2016-05-05,19.88,20.1,20.05,19.81,44356.36,-0.11,-0.55,19.728,19.592,20.418,44565.58,41604.14,54233.91,3.89,,,-1.0,-1.0,,-0.2422379492657427,-0.1773890411745101,-0.06484890809123262
2016-05-06,20.03,20.23,19.04,19.0,61533.12,-1.0,-4.99,19.702,19.6,20.311,49965.24,43607.52,53715.03,5.4,,,-1.0,-1.0,,-0.2983658301438048,-0.20158439896836905,-0.09678143117543575
2016-05-09,19.0,19.0,18.11,17.98,42755.93,-0.93,-4.88,19.46,19.459,20.164,52986.85,44378.12,53502.74,3.75,,,-1.0,-1.0,,-0.41312851937711415,-0.24389322305011807,-0.16923529632699608
2016-05-10,18.0,18.25,17.97,17.9,32958.57,-0.14,-0.77,19.066,19.324,19.98,50857.88,44940.38,52494.71,2.89,,,-1.0,-1.0,,-0.5095023810912203,-0.2970150546583385,-0.21248732643288176
2016-05-11,18.11,18.36,18.0,17.9,23848.73,0.04,0.22,18.634,19.134,19.772,41090.54,42222.74,49416.67,2.09,,,-1.0,-1.0,,-0.5768095105698947,-0.3529739458406497,-0.22383556472924498
2016-05-12,17.7,17.7,17.44,16.98,38563.72,-0.54,-3.0,18.112,18.92,19.543,39932.01,42248.8,46423.86,3.38,,,-1.0,-1.0,,-0.6676420534882901,-0.4159075673701778,-0.2517344861181123
2016-05-13,17.44,17.84,17.51,17.36,23784.43,0.1,0.57,17.806,18.754,19.32,32382.28,41173.76,44154.89,2.09,,,-1.0,-1.0,,-0.7256146491823188,-0.477848983732606,-0.2477656654497128
2016-05-16,17.7,18.48,18.14,17.31,35290.67,0.64,3.66,17.812,18.636,19.147,30889.22,41938.04,42811.33,3.1,,,,0.0,,-0.7125092509462192,-0.5247810371753286,-0.18772821377089055
2016-05-17,18.1,18.17,17.89,17.7,33192.09,-0.25,-1.38,17.796,18.431,19.009,30935.93,40896.91,40866.11,2.91,,,,0.0,,-0.7140647451949036,-0.5626377787792436,-0.15142696641566
2016-05-18,17.67,17.75,17.22,17.0,32563.42,-0.67,-3.75,17.64,18.137,18.825,32678.87,36884.7,40492.2,2.86,,,,0.0,,-0.7605932407436455,-0.602228871172124,-0.15836436957152156
2016-05-19,17.49,17.65,17.33,17.19,26919.01,0.1,0.58,17.618,17.865,18.729,30349.92,35140.97,38372.55,2.36,,,,0.0,,-0.7796045322334706,-0.6377040033843933,-0.14190052884907733
2016-05-20,17.03,17.71,17.63,17.03,31039.82,0.3,1.73,17.642,17.724,18.662,31801.0,32091.64,37849.58,2.72,,,,0.0,,-0.761683412663011,-0.6624998852401168,-0.09918352742289416
2016-05-23,17.72,18.15,17.97,17.72,35632.93,0.34,1.93,17.608,17.71,18.585,31869.45,31379.34,37878.73,3.13,,,,0.0,,-0.7118399894934129,-0.672367906090776,-0.03947208340263686
2016-05-24,17.75,17.94,17.52,17.42,29860.34,-0.43,-2.4,17.534,17.665,18.495,31203.1,31069.52,38004.95,2.62,,,,0.0,,-0.700574173739529,-0.6780091596205267,-0.022565014119002358
2016-05-25,17.68,17.97,17.72,17.57,36362.11,0.22,1.26,17.634,17.637,18.386,31962.84,32320.85,37271.8,3.19,,,1.0,1.0,,-0.6678095126931574,-0.6759692302350528,0.008159717541895484
2016-05-26,17.72,17.95,17.85,17.11,31285.51,0.13,0.73,17.738,17.678,18.299,32836.14,31593.03,36920.91,2.74,,,1.0,1.0,,-0.6241584590221478,-0.6656070759924718,0.04144861697032398
2016-05-27,17.76,17.94,17.85,17.5,29815.0,0.0,0.0,17.782,17.712,18.233,32591.18,32196.09,36684.92,2.62,,,1.0,1.0,,-0.5828459986357757,-0.6490548605211326,0.0662088618853569
2016-05-30,17.6,17.82,17.6,17.3,21275.7,-0.24,-1.34,17.708,17.658,18.147,29719.73,30794.59,36366.32,1.87,,,1.0,1.0,,-0.5637795866676996,-0.631999805750446,0.06822021908274645
2016-05-31,17.55,18.45,18.43,17.55,58470.71,0.83,4.72,17.89,17.712,18.072,35441.81,33322.46,37109.68,5.13,,,1.0,1.0,,-0.4762058498076094,-0.6008410145618787,0.12463516475426928
2016-06-01,18.42,18.78,18.47,18.36,51780.81,0.03,0.16,18.04,17.837,17.987,38525.55,35244.19,36064.45,4.54,,,1.0,1.0,,-0.3989762172271085,-0.5604680550949246,0.16149183786781607
2016-06-02,18.44,18.97,18.8,18.44,45181.33,0.36,1.95,18.23,17.984,17.925,41304.71,37070.43,36105.7,3.96,,,1.0,1.0,,-0.30759714649050807,-0.5098938733740412,0.20229672688353317
2016-06-03,18.8,19.16,19.01,18.5,53117.16,0.21,1.12,18.462,18.122,17.923,45965.14,39278.16,35684.9,4.66,,,1.0,1.0,,-0.2157463401129398,-0.45106436672182093,0.23531802660888113
2016-06-06,19.05,19.15,18.78,18.64,41098.46,-0.23,-1.21,18.698,18.203,17.957,49929.69,39824.71,35602.03,3.61,,,1.0,1.0,,-0.1596723882203932,-0.3927859710215354,0.2331135828011422
2016-06-07,18.8,19.1,19.05,18.5,54064.13,0.27,1.44,18.822,18.356,18.011,49048.38,42245.09,36657.3,4.74,,,1.0,1.0,,-0.09238171493455027,-0.33270511980413836,0.2403234048695881
2016-06-08,18.98,19.03,18.83,18.67,38287.33,-0.21,-1.1,18.894,18.467,18.052,46349.68,42437.61,37379.23,3.36,,,1.0,1.0,,-0.05615817643499099,-0.2773957311303089,0.22123755469531792
2016-06-13,18.59,18.59,17.65,17.62,50042.71,-1.17,-6.22,18.664,18.447,18.063,47321.96,44313.33,37953.18,4.39,,,1.0,1.0,,-0.12126898614120663,-0.24617038213248846,0.12490139599128183
2016-06-14,17.49,17.77,17.56,17.28,28420.04,-0.12,-0.68,18.374,18.418,18.065,42382.53,44173.84,38184.96,2.49,,,1.0,1.0,,-0.1780792332199681,-0.2325521523499844,0.054472919130016284
2016-06-15,17.4,18.39,18.18,17.33,38155.53,0.62,3.53,18.254,18.476,18.067,41793.95,45861.82,38328.21,3.35,,,1.0,1.0,,-0.17110060362959345,-0.2202618426059062,0.04916123897631275
2016-06-16,18.12,18.28,18.09,18.0,30140.94,-0.08,-0.44,18.062,18.442,18.077,37009.31,43028.84,38175.65,2.64,,,1.0,1.0,,-0.17086263909434862,-0.21038200190359468,0.03951936280924606
2016-06-17,18.03,18.95,18.63,18.03,50834.28,0.55,3.04,18.022,18.458,18.148,39518.7,42934.19,39089.19,4.46,,,1.0,1.0,,-0.12565212398446235,-0.19343602631976822,0.06778390233530587
2016-06-20,18.64,18.85,18.81,18.25,37390.55,0.18,0.97,18.254,18.459,18.222,36988.27,42155.11,39612.77,3.28,,,1.0,1.0,,-0.07443987284156606,-0.16963679562412778,0.09519692278256173
2016-06-21,18.85,18.93,18.3,18.22,51716.58,-0.51,-2.71,18.402,18.388,18.255,41647.58,42015.06,40646.61,4.54,,,1.0,1.0,,-0.07415175729836676,-0.15053978795897557,0.07638803066060881
2016-06-22,18.28,18.83,18.72,18.21,41659.83,0.44,2.41,18.51,18.382,18.293,42348.44,42071.19,40947.95,3.65,,,1.0,1.0,,-0.039576717971950615,-0.12834717396157058,0.08877045598961997
2016-06-23,18.75,19.3,18.92,18.52,61440.09,0.21,1.12,18.676,18.369,18.363,48608.27,42808.79,42526.94,5.39,,,1.0,1.0,,0.003917420736463839,-0.1018942550219637,0.10581167575842754
2016-06-24,18.9,19.09,18.8,17.73,56513.07,-0.14,-0.74,18.71,18.366,18.417,49744.02,44631.36,43534.49,4.96,,,1.0,1.0,,0.028376732593635268,-0.0758400574988439,0.10421679009247917
2016-06-27,18.65,19.39,19.35,18.38,68767.98,0.7,3.75,18.818,18.536,18.492,56019.51,46503.89,45408.61,6.03,,,1.0,1.0,,0.09109127342084022,-0.04245379131490707,0.1335450647357473
